"","x","y","Date","Ignitions","AR","AT","AVPD","Area"
"1",149.05,-35.15,"2012_01",0,36.5,27.2516136169434,2.21918344497681,0.18
"2",149.05,-35.15,"2012_02",0,145.600006103516,24.9310340881348,1.67410719394684,0.18
"3",149.05,-35.15,"2012_03",0,238,22.025806427002,1.34032797813416,0.18
"4",149.05,-35.15,"2012_04",0,20.1000003814697,20.0400009155273,1.18181002140045,0.18
"5",149.05,-35.15,"2012_05",0,31.7000007629395,15.222580909729,0.935182571411133,0.18
"6",149.05,-35.15,"2012_06",0,50,12.4166669845581,0.625510215759277,0.18
"7",149.05,-35.15,"2012_07",0,37.5999984741211,12.4548387527466,0.713699638843536,0.18
"8",149.05,-35.15,"2012_08",0,43.0999984741211,12.9096775054932,0.811846673488617,0.18
"9",149.05,-35.15,"2012_09",0,53.4000015258789,17.5033340454102,1.15835464000702,0.18
"10",149.05,-35.15,"2012_10",0,50.2999992370605,20.8677425384521,1.55388927459717,0.18
"11",149.05,-35.15,"2012_11",0,31.3999996185303,25.453332901001,2.04509806632996,0.18
"12",149.05,-35.15,"2012_12",0,55.7999992370605,27.5580654144287,2.36655569076538,0.18
"13",149.05,-35.15,"2013_01",1,76.0999984741211,32.432258605957,3.46776461601257,0.18
"14",149.05,-35.15,"2013_02",0,53,27.6107139587402,2.17330574989319,0.18
"15",149.05,-35.15,"2013_03",0,30.6000003814697,25.3838710784912,1.93925225734711,0.18
"16",149.05,-35.15,"2013_04",0,9.69999980926514,21.8666667938232,1.55789172649384,0.18
"17",149.05,-35.15,"2013_05",0,12.6000003814697,16.7806453704834,1.05932950973511,0.18
"18",149.05,-35.15,"2013_06",0,105.300003051758,13.2200002670288,0.671666979789734,0.18
"19",149.05,-35.15,"2013_07",1,54.5999984741211,12.9064512252808,0.658623218536377,0.18
"20",149.05,-35.15,"2013_08",0,31.8999996185303,13.9612903594971,0.786605417728424,0.18
"21",149.05,-35.15,"2013_09",0,61.2000007629395,19.3133335113525,1.30091738700867,0.18
"22",149.05,-35.15,"2013_10",0,17.5,21.4548377990723,1.73505628108978,0.18
"23",149.05,-35.15,"2013_11",0,88.9000015258789,23.7466659545898,1.95612967014313,0.18
"24",149.05,-35.15,"2013_12",0,22.2000007629395,28.6967735290527,2.79634594917297,0.18
"25",149.05,-35.15,"2014_01",0,8.69999980926514,31.541934967041,3.56037473678589,0.18
"26",149.05,-35.15,"2014_02",0,92.9000015258789,29.3714294433594,2.82080674171448,0.18
"27",149.05,-35.15,"2014_03",0,84.4000015258789,24.0967750549316,1.48881733417511,0.18
"28",149.05,-35.15,"2014_04",0,80.1999969482422,19.4266662597656,1.04122614860535,0.18
"29",149.05,-35.15,"2014_05",0,25.2000007629395,16.8935489654541,0.952842712402344,0.18
"30",149.05,-35.15,"2014_06",0,70.0999984741211,12.6666669845581,0.597248733043671,0.18
"31",149.05,-35.15,"2014_07",0,24.2999992370605,11.5483875274658,0.62188321352005,0.18
"32",149.05,-35.15,"2014_08",0,46,13.7870969772339,0.856794238090515,0.18
"33",149.05,-35.15,"2014_09",0,49.7000007629395,17.5233325958252,1.11045444011688,0.18
"34",149.05,-35.15,"2014_10",0,50.2000007629395,22.4967746734619,1.78540134429932,0.18
"35",149.05,-35.15,"2014_11",0,37.5999984741211,27.5833339691162,2.59474992752075,0.18
"36",149.05,-35.15,"2014_12",0,86.5,27.5516128540039,2.27877402305603,0.18
"37",149.05,-35.15,"2015_01",0,160.399993896484,27.1774196624756,2.10110640525818,0.18
