"x";"y";"Month";"MR";"MT";"MV"
149,3;-35;"04";NA;NA;NA
149,3;-35;"05";NA;NA;NA
149,3;-35;"06";NA;NA;NA
149,3;-35;"07";NA;NA;NA
149,3;-35;"08";NA;NA;NA
149,3;-35;"09";NA;NA;NA
149,3;-35;"10";NA;NA;NA
149,3;-35;"11";NA;NA;NA
149,3;-35;"12";NA;NA;NA
149,35;-35;"01";NA;NA;NA
149,35;-35;"02";NA;NA;NA
149,35;-35;"03";NA;NA;NA
149,35;-35;"04";NA;NA;NA
149,35;-35;"05";NA;NA;NA
149,35;-35;"06";NA;NA;NA
149,35;-35;"07";NA;NA;NA
149,35;-35;"08";NA;NA;NA
149,35;-35;"09";NA;NA;NA
149,35;-35;"10";NA;NA;NA
149,35;-35;"11";NA;NA;NA
149,35;-35;"12";NA;NA;NA
149,4;-35;"01";NA;NA;NA
149,4;-35;"02";NA;NA;NA
149,4;-35;"03";NA;NA;NA
149,4;-35;"04";NA;NA;NA
149,4;-35;"05";NA;NA;NA
149,4;-35;"06";NA;NA;NA
149,4;-35;"07";NA;NA;NA
149,4;-35;"08";NA;NA;NA
149,4;-35;"09";NA;NA;NA
149,4;-35;"10";NA;NA;NA
149,4;-35;"11";NA;NA;NA
149,4;-35;"12";NA;NA;NA
149,45;-35;"01";NA;NA;NA
149,45;-35;"02";NA;NA;NA
149,45;-35;"03";NA;NA;NA
149,45;-35;"04";NA;NA;NA
149,45;-35;"05";NA;NA;NA
149,45;-35;"06";NA;NA;NA
149,45;-35;"07";NA;NA;NA
149,45;-35;"08";NA;NA;NA
149,45;-35;"09";NA;NA;NA
149,45;-35;"10";NA;NA;NA
149,45;-35;"11";NA;NA;NA
149,45;-35;"12";NA;NA;NA
148,7;-35,05;"01";NA;NA;NA
148,7;-35,05;"02";NA;NA;NA
148,7;-35,05;"03";NA;NA;NA
148,7;-35,05;"04";NA;NA;NA
148,7;-35,05;"05";NA;NA;NA
148,7;-35,05;"06";NA;NA;NA
148,7;-35,05;"07";NA;NA;NA
148,7;-35,05;"08";NA;NA;NA
148,7;-35,05;"09";NA;NA;NA
148,7;-35,05;"10";NA;NA;NA
148,7;-35,05;"11";NA;NA;NA
148,7;-35,05;"12";NA;NA;NA
148,75;-35,05;"01";NA;NA;NA
148,75;-35,05;"02";NA;NA;NA
148,75;-35,05;"03";NA;NA;NA
148,75;-35,05;"04";NA;NA;NA
148,75;-35,05;"05";NA;NA;NA
148,75;-35,05;"06";NA;NA;NA
148,75;-35,05;"07";NA;NA;NA
148,75;-35,05;"08";NA;NA;NA
148,75;-35,05;"09";NA;NA;NA
148,75;-35,05;"10";NA;NA;NA
148,75;-35,05;"11";NA;NA;NA
148,75;-35,05;"12";NA;NA;NA
148,8;-35,05;"01";NA;NA;NA
148,8;-35,05;"02";NA;NA;NA
148,8;-35,05;"03";NA;NA;NA
148,8;-35,05;"04";NA;NA;NA
148,8;-35,05;"05";NA;NA;NA
148,8;-35,05;"06";NA;NA;NA
148,8;-35,05;"07";NA;NA;NA
148,8;-35,05;"08";NA;NA;NA
148,8;-35,05;"09";NA;NA;NA
148,8;-35,05;"10";NA;NA;NA
148,8;-35,05;"11";NA;NA;NA
148,8;-35,05;"12";NA;NA;NA
148,85;-35,05;"01";NA;NA;NA
148,85;-35,05;"02";NA;NA;NA
148,85;-35,05;"03";NA;NA;NA
148,85;-35,05;"04";NA;NA;NA
148,85;-35,05;"05";NA;NA;NA
148,85;-35,05;"06";NA;NA;NA
148,85;-35,05;"07";NA;NA;NA
148,85;-35,05;"08";NA;NA;NA
148,85;-35,05;"09";NA;NA;NA
148,85;-35,05;"10";NA;NA;NA
148,85;-35,05;"11";NA;NA;NA
148,85;-35,05;"12";NA;NA;NA
148,9;-35,05;"01";NA;NA;NA
148,9;-35,05;"02";NA;NA;NA
148,9;-35,05;"03";NA;NA;NA
148,9;-35,05;"04";NA;NA;NA
148,9;-35,05;"05";NA;NA;NA
148,9;-35,05;"06";NA;NA;NA
148,9;-35,05;"07";NA;NA;NA
148,9;-35,05;"08";NA;NA;NA
148,9;-35,05;"09";NA;NA;NA
148,9;-35,05;"10";NA;NA;NA
148,9;-35,05;"11";NA;NA;NA
148,9;-35,05;"12";NA;NA;NA
148,95;-35,05;"01";NA;NA;NA
148,95;-35,05;"02";NA;NA;NA
148,95;-35,05;"03";NA;NA;NA
148,95;-35,05;"04";NA;NA;NA
148,95;-35,05;"05";NA;NA;NA
148,95;-35,05;"06";NA;NA;NA
148,95;-35,05;"07";NA;NA;NA
148,95;-35,05;"08";NA;NA;NA
148,95;-35,05;"09";NA;NA;NA
148,95;-35,05;"10";NA;NA;NA
148,95;-35,05;"11";NA;NA;NA
148,95;-35,05;"12";NA;NA;NA
149;-35,05;"01";NA;NA;NA
149;-35,05;"02";NA;NA;NA
149;-35,05;"03";NA;NA;NA
